title,skills,salary,company,job_description,link
Intern Python Developer,"Python,Робота в команді,Уважність,Бажання вчитися і розвиватися",17000 UAH,Техно-джентельмени,"Ми шукаємо молодих, амбітних людей, які бажають почати свою кар'єру в IT як Intern Python Developer. Попередній досвід роботи не потрібен — головне, щоб ви мали велике бажання вчитися та розвиватися.  Віддаленого формату немає — тільки Київ Основні обов’язки :  Вивчення та освоєння Python під керівництвом досвідчених наставників  Виконання простих завдань у розробці програмного забезпечення  Участь у командних проектах та зустрічах  Написання та тестування коду  Допомога у вирішенні технічних питань  Вимоги :  Базові знання Python  Бажання навчатися та працювати в команді  Вміння слідувати інструкціям та уважність до деталей  Володіння англійською мовою на рівні читання технічної документації  Унікальна можливість навчання В нашій компанії навчання — це більше, ніж просто адаптація новачка. Ми пропонуємо унікальну програму навчання, яку ви не знайдете ніде більше на ринку. Наш підхід до навчання побудований на тісній співпраці з досвідченими наставниками, які проведуть вас через всі етапи освоєння Python та розробки програмного забезпечення. Як проходить навчання:  Індивідуальний підхід : Ви отримаєте персонального наставника, який буде допомагати вам на кожному етапі вашого навчання. Наставник ділитиметься своїм досвідом, дасть поради та відповість на всі ваші запитання.  Практичні завдання : Навчання базується на реальних завданнях та проектах, які дозволяють закріпити теоретичні знання на практиці. Ви будете працювати над справжніми проектами компанії, отримуючи цінний досвід.  Командна робота : Ви станете частиною нашої команди з першого дня. Участь у командних проектах допоможе вам зрозуміти, як працювати у великій IT компанії, навчить вас ефективній комунікації та співпраці.  Регулярний зворотний зв’язок : Ми забезпечуємо постійний зворотний зв’язок щодо вашого прогресу. Ви будете знати, в яких аспектах вам потрібно зосередити свої зусилля для досягнення найкращих результатів.  Що вас чекає після навчання:  Кар'єрні перспективи : Після успішного завершення стажування ви маєте всі шанси стати постійним членом нашої команди. Ми цінуємо таланти, які виросли разом з нами.  Професійний розвиток : Ви отримаєте можливість продовжувати своє навчання та розвиватися у вибраному напрямку. Наша компанія підтримує професійний розвиток своїх працівників.  Стабільна робота : Ви станете частиною успішної компанії з великою кількістю цікавих проектів та стабільним майбутнім.  Унікальний досвід : Завдяки нашій програмі навчання ви отримаєте досвід, який стане міцною основою для вашої кар'єри в IT. Такий досвід і знання відкриють для вас безліч дверей у майбутньому.  Приєднуйтесь до нашої команди та скористайтеся цією унікальною можливістю, яку ви не знайдете ніде більше!",https://www.work.ua/en/jobs/5715805/
Python Django Developer,"SQL,Git,Python,PostgreSQL,Відповідальність,Docker,Docker Compose,Django,Робота в команді,REST API,Selenium,Програмування,Уважність,Розробка API,CI/CD",,Ван Медіа Імперія,"Проект передбачає розробку веб-додатків на основі Django з інтеграцією з іншими системами через API. Також необхідно автоматизувати задачі за допомогою Selenium та Telegram-бота на основі Telethon. Інфраструктура проекту базується на Docker з використанням PostgreSQL як бази даних.  Обов’язки: 1. Розробка веб-додатків на основі Django:  Створення моделей, в’юшок та шаблонів.  Реалізація CRUD операцій для основних моделей даних.  Написання тестів для забезпечення якості коду.  2. Інтеграція з іншими системами через API:  Розробка та підтримка RESTful API.  Забезпечення безпеки API (аутентифікація, авторизація).  3. Автоматизація задач за допомогою Selenium:  Створення скриптів для автоматизованого тестування веб-додатків.  Інтеграція скриптів автоматизації в CI/CD процеси.  4. Розробка Telegram-ботів за допомогою Telethon:  Створення та налаштування Telegram-ботів.  Автоматизація взаємодії з користувачами через Telegram.  5. Інфраструктура на основі Docker:  Контейнеризація додатків.  Написання Dockerfile та docker-compose.yml для налаштування середовища розробки та продакшену.  6. Використання PostgreSQL як бази даних:  Створення та оптимізація схем баз даних.  Написання складних SQL-запитів для витягування даних.  Вимоги до кандидата: 1. Професійні навички:  Глибоке знання Python та Django.  Досвід роботи з Selenium для автоматизації веб-додатків.  Вміння працювати з Telethon для розробки Telegram-ботів.  Досвід роботи з Docker для контейнеризації додатків.  Знання PostgreSQL та вміння працювати з базами даних.  2. Додаткові навички:  Досвід роботи з CI/CD інструментами.  Знання принципів об'єктно-орієнтованого програмування та дизайну.  Вміння працювати з системами контролю версій (Git).  3. М’які навички:  Здатність працювати в команді та комунікувати з іншими розробниками.  Вміння самостійно вирішувати проблеми та знаходити оптимальні рішення.  Відповідальність та увага до деталей.  Якщо це про тебе і хочеш приєднатись до нашої команди — відправляй резюме або пиши в TG для швидкої відповіді:  https://t.me/HRD_Irina_Arbitrage",https://www.work.ua/en/jobs/5739159/
"Викладач у дитячу ІТ-школу програмування (Роблокс, Python)","Python,Програмування,Креативність",4000–8000 UAH,"Logika, мiжнародна школа програмування для дiтей","Контакти: Тел.  +380938659605 Show phone  (Діана) Що таке Logika: Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають логіку і вміння думати, а в проектній роботі проявляють креативність та творчі здібності. У програму курсу Logika включені частини курсів з фізики, математики, хімії, астрономії, що допомагає дітям зрозуміти, навіщо шкільні предмети потрібні в реальному житті. Logika активно розвивається і в зв’язку із розширеннями відбувається пошук викладачів! Ми пропонуємо:  Робота у вихідні та будні.  Заробітна плата: 300 грн / 1.5 години викладання.  Постійне навчання за рахунок компанії від наших професіоналів.  Зручні локації.  Круте ком’юніті однодумців!  Хто нам потрібен?:  Потрібні круті викладачі, які ладнають із комп’ютером на «ти» та мають активний підхід до своєї роботи.  Необхідні знання у Python, Роблокс (Або ж досвід із іншими мовами програмування та бажання вивчати нове)  Великою перевагою буде вища освіта в області ІТ, або ж педагогіки/психології.  Якщо Ви маєте досвід у роботі з дітками — це кльово, а якщо немає, то навчимо!  Що потрібно буде робити:  проводити заняття із використанням уже готових методичних матеріалів школи Logika;  створювати та підтримувати дружню робочу атмосферу;  отримувати кайф від роботи із майбутнім нашої країни;  Якщо саме ВИ бажаєте власноруч змінювати освіту на краще — ходім до Логіки! Не втрачай можливість — хутчіш залишай відгук, або ж телефонуй:  +380938659605 Show phone  (Діана)",https://www.work.ua/en/jobs/4609734/
Senior Python developer,Python,228000 UAH,"ІТ-Паросток, благодійний фонд","Requirements :   6+ Years of Experience in Software Engineering  Proven experience in Python/Go  Proficient in Google Cloud Platform (GCP) services and tools or other cloud platforms (AWS, Azure)  Experience with Postgres database management or other relational databases  Experience with event-driven architecture (Pub/Sub, SQS)  Knowledge of data pipelines and their management  Expertise in monitoring and alerting practices (Kibana, etc.)  Ability to navigate and analyze platform/service logs using Humio or similar systems   Why should you join us? Innovation: We are always at the forefront of technological innovations, especially in the field of AI platforms. When you join us, you will work with the latest technologies and tools. Professional Development: We provide all our employees with opportunities for learning and development. You will get access to the best courses, trainings and workshops in the industry. Team spirit: We pride ourselves on our friendly and supportive atmosphere. Here you will find colleagues who will become your friends and mentors. Flexible work schedule: We understand the importance of work-life balance, which is why we offer flexible hours and telecommuting options. Responsibilities:   Collaborate with related engineers for complex issues or those beyond the scope of existing documentation   Data Infrastructure pipeline upgrade and support  Monitor communication channels, ensuring every issue is directed to the appropriate team within organization for resolution   Utilize established runbooks to address and resolve on-call issues promptly and safely   Contribute to the development and enhancement of the knowledge base to optimize first-line triage efficiency   Schema registry management  DLQ pushes  Document effective solutions and procedures discovered through on-call experiences to refine the runbook   Send, please, your updated CV in English with Telegram link!)",https://www.work.ua/en/jobs/5738669/
"Викладач програмування у дитячу школу (Scratch, комп'ютерна грамотність, Python)","Python,Програмування,Креативність,Робота з дітьми,Scratch",6000–10000 UAH,"Logika, мiжнародна школа програмування для дiтей","Logika  — це школа програмування та англійської мови для дітей  logikaschool.com Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають логіку і вміння думати, а в проектній роботі проявляють креативність та творчі здібності. Logika  активно розвивається і в зв’язку із розширенням ми в пошуку викладачів! Ми пропонуємо:  Робота у вихідні (субота, неділя).  Заробітна плата: від 350 грн/1.5 години  Постійне навчання та менторинг.  Зручні локації.  Круте ком’юніті однодумців!  Хто нам потрібен?  Потрібні енергійні та вмотивовані викладачі, які з комп’ютером на «ти» та мають активний підхід до своєї роботи.  Необхідні знання Scratch, Python (є навчання) або ж досвід із мовами програмування та суміжними інструментами, бажання вивчати нове.  Великою перевагою буде вища освіта в області ІТ, або ж педагогіки/психології.  Кандидати з досвідом роботи з дітьми в пріоритеті  Якщо в тебе ще немає досвіду, але є хист і бажання, школа пропонує навчання і підтримку.  Обов`язки:  Проводити заняття із використанням уже готових методичних матеріалів школи Logika;  Створювати та підтримувати дружню робочу атмосферу;  Слідкувати за результатами учнів;  Давати звіти за шаблонами;  Отримувати задоволення від роботи з дітками — майбутнім нашої країни.  Якщо саме ТИ бажаєш власноруч змінювати освіту на краще — чекаємо серед однодумців в  Logika! Не втрачай можливість — хутчіш залишай відгук, або телефонуй: 0958203271 Show phone , Андрій",https://www.work.ua/en/jobs/5695082/
"Викладач програмування у дитячу школу (Scratch, комп'ютерна грамотність, Python)","Python,Програмування,Креативність,Робота з дітьми,Scratch",6000–10000 UAH,"Logika, мiжнародна школа програмування для дiтей","Logika  — це школа програмування та англійської мови для дітей  logikaschool.com Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають логіку і вміння думати, а в проектній роботі проявляють креативність та творчі здібності. Logika  активно розвивається і в зв’язку із розширенням ми в пошуку викладачів! Ми пропонуємо:  Робота у вихідні (субота, неділя).  Заробітна плата: від 350 грн/1.5 години  Постійне навчання та менторинг.  Зручні локації.  Круте ком’юніті однодумців!  Хто нам потрібен?  Потрібні енергійні та вмотивовані викладачі, які з комп’ютером на «ти» та мають активний підхід до своєї роботи.  Необхідні знання Scratch, Python (є навчання) або ж досвід із мовами програмування та суміжними інструментами, бажання вивчати нове.   Великою перевагою буде вища освіта в області ІТ, або ж педагогіки/психології.  Кандидати з досвідом роботи з дітьми в пріоритеті  Якщо в тебе ще немає досвіду, але є хист і бажання, школа пропонує навчання і підтримку.  Обов`язки:  Проводити заняття із використанням уже готових методичних матеріалів школи Logika;  Створювати та підтримувати дружню робочу атмосферу;  Слідкувати за результатами учнів;  Давати звіти за шаблонами;  Отримувати задоволення від роботи з дітками — майбутнім нашої країни.  Якщо саме ТИ бажаєш власноруч змінювати освіту на краще — чекаємо серед однодумців в  Logika! Не втрачай можливість — хутчіш залишай відгук, або телефонуй: 0958203271 Show phone , Андрій",https://www.work.ua/en/jobs/5695071/
Middle python developer,MySQL,30000–45000 UAH,EasyLife,"Основні обов’язки:  Розробка та підтримка бек-енд частини веб-додатків з використанням Python та FastAPI.  Створення ефективних та масштабованих алгоритмів та архітектурних рішень для забезпечення високої продуктивності та надійності веб-додатків.  Тестування та налагодження коду.  Оптимізація та покращення існуючого коду та архітектури.  Вимоги:  Досвід роботи з Python, включаючи використання фреймворку FastAPI від 2-х років.  Розуміння принципів розробки веб-додатків та RESTful API.  Знання SQL та досвід роботи з реляційними базами даних (наприклад, PostgreSQL, MySQL).  Вміння ефективно працювати в команді та спілкуватися з іншими учасниками проекту.  Бажання навчатися та розвиватися у сфері веб-розробки.  Буде перевагою:  Досвід розробки високонавантажених веб-додатків.  Знання асинхронного програмування в Python (наприклад, asyncio).  Ми пропонуємо:  Цікаві проекти та можливість розвиватися професійно.  Гнучкий графік роботи та можливість віддаленої роботи.  Дружній колектив та команду професіоналів.  Конкурентну заробітну плату та бонуси.  Якщо ви зацікавлені в цій вакансії, будь ласка, надішліть своє резюме, супровідний лист та портфоліо з прикладами ваших робіт у відгук або на телеграм @EasyLife_Manager. Обов’язково вказуйте «Заявка на посаду Python Розробника».",https://www.work.ua/en/jobs/5696095/
Python-програміст,"CSS,HTML,MySQL,SQL,Git,Python,PostgreSQL,Організованість,Docker,SQLite,Vue.js,Програмування,Flask,FastAPI,Бажання вчитися і розвиватися",,"НК Груп Консалтинг, ТОВ","Вакансія: Python-програміст Місце роботи: Київ Компанія «НК Груп Консалтинг, ТОВ» шукає Python-програміста Full Stack (Angular — Vue) з досвідом від 2 років для приєднання до нашої команди. Обов’язки:  Розробка програмного забезпечення на мові Python;  Підтримка та вдосконалення існуючих систем;  Розробка нових функціональних можливостей;  Участь у тестуванні та налагодженні програмного забезпечення;  Взаємодія з іншими членами команди та клієнтами для розуміння їх потреб і вимог.  Вимоги:  Досвід роботи на Python не менше 2 років;  Вміння розробляти веб-додатки на фреймворку FastAPI або Flask;  SQL, SQLite, MySQL, PostgreSQL   Досвід роботи з Git або іншими системами контролю версій;  Вміння працювати в команді та готовність ділитися знаннями;  Добре розуміння архітектури програмного забезпечення та досвід роботи з паттернами проектування;  Високий рівень самоорганізації та вміння планувати свою роботу.  Docker  Frontend HTML, CSS,  Angular ,  Vue  —  Обов’язково  Golang —  Обов’язково  XMPP   OPEN AI  Ми пропонуємо:  Конкурентоспроможну заробітну плату;  Можливість професійного росту та розвитку;  Цікаві проекти та виклики;  Дружню та сприятливу робочу атмосферу;  Гнучкий графік роботи;  Молоду та амбітну команду.  Якщо ви маєте досвід роботи на Python та бажання розвиватися у сфері програмування, то ми чекаємо саме на вас! Відправте своє резюме разом з портфоліо на нашу електронну адресу [ apply ] з темою «Python-програміст».",https://www.work.ua/en/jobs/5416673/
"Викладач програмування з Python, Minecraft в онлайн-школу","Комунікабельність,Відповідальність,Організованість",14000–25000 UAH,"IT Future, онлайн-школа програмування для дітей","Привіт! Ми — IT FUTURE Online — шукаємо викладачів з  Програмування на  Python Minecraft . За 8+ років ми навчили 15 000 учнів, і наша команда вже налічує понад 350 крутих викладачів та продовжуємо зростати далі. Тому, у зв’язку з динамічним розвитком нашої школи, оголошуємо набір викладачів з програмування на Python Minecraft для навчання дітей онлайн віком від 8 років. Що ми пропонуємо?  Дистанційну роботу: працюй дистанційно з будь-якої точки світу та самостійно формуй свій графік роботи;  Конкурентну заробітню плату: близько 25 000₴ на повній зайнятості, та біля 14 000₴ на частковій;   Зручність: комунікація з клієнтами тільки через школу і в робочий час;  Готова програма: покрокові уроки вже підготовлені для тебе;  Підтримка: ментор та менеджери на зв’язку 7 днів на тиждень;  Зручний особистий кабінет з інформацією про твоїх учнів та реєстром проведених/запланованих занять.  Хто нам підходить?  Ти маєш досвід в IT та бажання навчатись;  У тебе є комп’ютер з веб-камерою та надійний інтернет;  Ти відповідальний, самоорганізований і комунікабельний;  Тобі подобається працювати з дітьми;  Готовий працювати від 20 годин на тиждень;  Ти знаєш, і можеш викладати один або декілька з даних напрямків: Scratch, Roblox, Minecraft Education, Minecraft Python, Python, Web-програмування, Photoshop, Відеомонтаж, 3D Blender, Unity, Construct, AI.   Залишай резюме та приєднуйся до нашої дружньої команди! IT FUTURE Online — Онлайн школа програмування для дітей від 7 років.  https://itfuture.online/uk/",https://www.work.ua/en/jobs/5353005/
Python-програміст (LLMs-Langchain),"Python,Комунікабельність,Відповідальність,Уважність,AWS,Backend-розробка,TensorFlow,Machine learning,PyTorch,Langchain,LLM,LLAMA3,OpenAI",100000–150000 UAH,Ester Digital PLC,"We are looking for a talented and motivated Python LLM Developer to join our team. The ideal candidate will have a strong background in developing and deploying web apps with large language models on Langchain. You will work closely with the CTO and DMs to create intelligent, responsive, and scalable solution that enhance our product. Key Responsibilities:  Fine-tune and deploy large language models.  Collaborate with cross-functional teams to integrate LLMs into our web application.  Optimize model performance and scalability.  Troubleshoot and resolve issues related to LLM deployment and usage.  Requirements:  Proven experience in Python development, particularly with open LLMs (LLAMA3, etc).   Strong experience with Langchain and its retrieval, composition, and memory management components.   Expertise in creating, profiling, and optimising the RAG pipeline to enhance performance and cost efficiency.   Strong understanding of machine learning algorithms and frameworks. Experience with data preprocessing, model training, and evaluation.   Expertise in creating backend APIs.   Familiarity with cloud platforms (AWS, GCP, Azure) for model deployment.   Excellent problem-solving skills and attention to detail. Ability to work independently and as part of a collaborative team.   Preferred Qualifications:  Experience with other AI frameworks and libraries such as TensorFlow, PyTorch, etc.   Strong communication skills and the ability to articulate complex technical concepts to non-technical stakeholders.   If you are passionate about AI and have the skills and experience we are looking for, we would love to hear from you!  Please send your CV and a cover letter outlining your relevant experience.",https://www.work.ua/en/jobs/5695811/
"IT-спеціаліст з програмування (C++, Python, OpenCV)","Python,C++,Програмування",,"РД, громадська організація","На постійну роботу або аутсорс шукаємо спеціалістів з програмування c++, python, open cv і так далі.  Бажано мати досвід роботи у написанні програм для систем машинного зору з використанням ШІ.  Умови співпраці гнучкі.",https://www.work.ua/en/jobs/5697394/
Office manager assistant (Polish),"Teamwork,Video montage,Marketing,Work with clients,Recruitment,Videography",20000–25000 UAH,Praktyczny Python,"Термін набору: 17.06 — 29.06.2024 Любиш працювати з комп’ютером? Хочеш працювати над проектом EdTech? Хочеш працювати 100% віддалено та 100% коли хочеш? Приєднуйся до нашої команди. Ти працюватимеш над Практичним Пайтоном — польською менторською програмою, яка допомагає звичайним людям пройти шлях від нуля до програміста. Ця робота для вас, якщо:  Технічні деталі не є проблемою для вас, і ви швидко опановуєте нові інструменти. Щодня ми користуємося такими інструментами, як Google Drive, Dropbox, ConvertKit, HelpScout, SMSApi, Fakturownia, Signal, LastPass, Zoom, PayU, Clickup, WebinarJam+Everwebinar, Canva, Wordpress + Elementor + landingi.pl, Slack, ChatGPT, Descript, AWS S3, Jotform, Meta Ads, Google Ads. Звісно, не потрібно знати всі ці інструменти.  Ви знаєте польську мову на рівні мінімум B2 — тобто вільно спілкуєтесь. Ви будете працювати в польській команді, і ми використовуємо польську мову щодня для внутрішньої комунікації, а також з клієнтами.  Ви самостійні. У першу чергу шукаєте допомогу в інтернеті. Ви здатні самостійно навчитися користуватися раніше згаданими інструментами.  Ви вмієте самостійно організувати свою роботу, працювати віддалено.  На вас можна покластися. Ви виконуєте завдання вчасно. Нам не потрібно вас контролювати.  Ви сумлінні. Нам потрібна точна робота. Ми не можемо дозволити, щоб ви, наприклад, забули про якийсь рахунок. Потрібно, щоб ви у заявці, в кінці (там, де я питаю, чи маєте якісь запитання), зазначили пароль REK24.  Ви можете працювати повний робочий день.  Маєте навички або готовність навчитися монтажу відео та створення лендінгів.  Буде плюсом:  Досвід роботи асистентом, менеджером або офіс-менеджером.  Досвід роботи віддалено.  Цікавитесь інтернет-бізнесом / онлайн / онлайн-освітою.  Знання англійської мови на рівні B1 для читання.  Умови роботи:  Ви працюєте 100% віддалено.  Ви працюєте 100% коли хочете.  95% комунікації в команді — текстова, і ми працюємо асинхронно.  Лише раз на тиждень збираємося на командний дзвінок.  Ви будете працювати в маленькій, 3-особовій команді (плюс ви) — разом з CEO, спеціалістом з маркетингу та офіс-менеджером, найбільше з останньою особою.  У нас є список завдань та книга процедур, завдяки чому ви знатимете, що і як робити.  Ви працюєте на своєму улюбленому, власному ноутбуці.  Ми працюємо з 2021 року та маємо стабільний дохід.  Обов’язки:  Обробка електронної пошти.  Заповнення звітів.  Збір рахунків та забезпечення обігу документів.  Дослідження  Підготовка договорів.  Завантаження нових уроків на навчальну платформу.  Організація вебінару.  (можливо) контакт з польськими установами.  Рекрутинг контракторів (наприклад, менторів).  Допомога офіс-менеджеру з іншими завданнями.  З нестандартних завдань, які ви будете виконувати:  Монтаж простих відео (влоги, шорти та відеоуроки) у Descript.  Створення лендінгів у Wordpress, Elementor та landingi.pl.  Przebieg rekrutacji:  10.06 — 29.06 — подання заявки через анкету (15 хвилин)  до 03.07 — кваліфікаційне завдання (1−2 год)  до 07.07 — співбесіда з CEO  до 12.07 — початок випробувального періоду  Зацікавлені? Заповніть заявку.  Заповнення подання здійснюється польською мовою. https://docs.google.com/forms/d/e/1FAIpQLSfKyGImCVvNmAlaVTaQ0Bxzo7TUSVX6lu8RfC61BaJY5zBTKg/viewform?usp=sf_link У разі питань пишіть на Telegram/WhatsApp за номером  +48 660 873 898 Show phone .",https://www.work.ua/en/jobs/5648497/
"Python developer (Trainee, Junior)","MySQL,Git,Python,PostgreSQL,Django,Django Rest Framework,Програмування,Знання принципів ООП",,Appexoft,"About company: Appexoft is Software Development Company that provides a full range of top-quality IT services. Our mission is to develop first-class applications and Websites to provide our clients with the best solutions for maximizing their profits and converting their ideas into reality. Requirements:  Development experience in the Python programming language;  Knowledge of frameworks such as Django, DRF  Understanding of the basic principles of object-oriented programming;  Database skills such as MySQL, PostgreSQL  Experience with version control systems such as Git;  Ability to work in a team;  We offer:  Interesting and challenging projects.  Vast opportunities for professional development.  Competitive salary.  Delicious coffee biscuits and tea for your good mood.  Friendly team of professionals.  Comfortable working environment.",https://www.work.ua/en/jobs/5302747/
"AQA Engineer (Python, Playwright)","Git,JavaScript,Python,React,Django,Selenium,Програмування,AWS,Backend-розробка,Playwright",,Quintagroup,"Quintagroup is a company of professionals that provides consulting, programming, and support services to organizations interested in deploying web-based solutions on the cloud. We are looking for a talented AQA Engineer (Python, Playwright) The AQA specialist will be able to participate in the development of data analytics platform where quality is essential.  Required:  Python  Playwright  Spoken English  Automated testing  Will be a plus  Git  Robot Framework  Selenium  Experience in automation of external and internal testing  Experience in testing web applications GUI, API  Projects details. Technology stack:   Backend:  Python . Django, AWS  Frontent: React,  Next.js  AQA: Playwright, Python  We offer :  opportunities for career and professional growth;  Friendly atmosphere and good working conditions;  Regular team-buildings and corporate parties;  Competitive salary and bonuses;  Official employment;  In-office English classes;  Flexible working hours;",https://www.work.ua/en/jobs/5362234/
"Викладач у дитячу IT-школу програмування (геймдизайн, Scratch, Python, комп'ютерна грамотність)","CSS,JavaScript,HTML,Python,Комунікабельність,Програмування,Креативність,Scratch,Бажання вчитися і розвиватися",10000 UAH,"Logika, мiжнародна школа програмування для дiтей","ДЕ МИ ШУКАЄМО КАНДИДАТІВ :  м.Буча та м.Ірпінь   Ш кола Logika  активно розвивається і в зв’язку із розширенням штату фахівців, відбувається пошук викладачів у нашу школу! В нашій школі присутні курси:  Комп’ютерна грамотність, Scratch, Геймдизайн, Python, Front-end та Графічний дизайн.  ПРО ШКОЛУ:  Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають своє логічне та критичне мислення і вміння думати та аналізувати інформацію, в проєктній роботі проявляти креативність та творчі здібності. Ми пропонуємо:  Зайнятість від 3−6+ груп  від 450 грн. за одне заняття (в залежності від кількості дітей у групі)   Гнучкий графік, можливість обрати для себе робочі години.  Графік занять узгоджується.  Вчасна виплата заробітної плати.  Постійне навчання за рахунок компанії від наших професіоналів.  Круте ком’юніті однодумців та комплексну базу знань для співробітників!  Мотивацію для викладачів!  Обов`язки:  Проводити офлайн заняття на локації в одному із міст, де розташована школа із використанням вже готових методичних та практичних матеріалів школи Logika;  Створювати та підтримувати дружню робочу атмосферу на заняттях;  Слідкувати за результатами учнів;  Вчасно заповнювати форми та адміністративну звітність;  Проводити відкриті уроки для батьків, та давати зворотній зв’язок про навчання дітей;  Хто нам потрібен?:  Потрібні  енергійні  та  вмотивовані  викладачі, які ладнають із комп’ютером на «ти» та мають  активний підхід  до своєї роботи.  Високо розвинені  комунікативні  навички , досвід публічних виступів  Любов до дітей  та  бажання  навчати та навчатись разом із ними!  Знання різних мов програмування  Python,Scratch, Lua, HTML,CSS, JavaScript  та величезне  бажання вивчати  нове).  Великою перевагою буде  вища освіта в області ІТ ,  педагогіки/психології.  Кандидати  з досвідом роботи з дітьми  в пріоритеті.  Якщо у Вас ще немає досвіду, але є хист і бажання, школа пропонує навчання і підтримку. Якщо саме ВИ бажаєте власноруч змінювати освіту на краще — чекаємо на Вас в Logika! Не втрачайте можливість — хутчіш залишайте відгук, або ж телефонуте/пишіть: ЗАПИС НА СПІВБЕСІДУ : Viber:  +380990314611 Show phone — Андрій Telegram:  https://t.me/DAndy19976 (@DAndy19976)",https://www.work.ua/en/jobs/5527582/
Python-програміст,"SQL,Python,PostgreSQL,Django,REST API,REST,AWS,Backend-розробка,Pydantic",,Uitop,"Uitop is a niche Design & Development Agency specializing in narrowly focused SaaS platforms. We focus on vertical ERP, CRM, or industry-specific SaaS. We are seeking an experienced and autonomous Python Developer to join our team.  What do you have:    At least 3−4 years of experience developing backend (Python or otherwise).  At least 2−3 years of exp with Python (Ideally 3−4 years)  Necessary Experience with Django.  Upper-Intermediate English level.  Be ready to communicate with the client directly, without a Project Manager. The CTO of the project is an experienced person with a technical background, maximally involved in the product, ready to share his experience.    Skill in Mathematics and Algorithms.  We care about a person’s thinking, his approach to solving complex problems.  A lot of focus for us on the backend is around  «Product Thinking».  Fast learner (We have small internal mini-framework on top of Django to make things easier which requires ramp up / learning phase). Be ready to propose and implement your decisions.  Nice to have:    Experience integrating with 3rd party APIs (REST API, or webhooks etc).  Experience with Pydantic model, Postgres SQL DB, AWS, Any data processing skills.  A little about the project:  Develop an innovative and universal solution for jewelry stores aimed at improving communication with customers and simplifying work processes.  Benefits:  The Product is designed to simplify workflows and facilitate communication with clients so that specialists can focus on providing personalized attention and meeting client needs. This will improve the quality of service, optimize data management and contribute to improved customer relationships, driving sales growth and customer loyalty. The project with complex logic and extensive functionality.  What we have:    Cooperation with a stable company with calculated ambitions and a positive atmosphere;  Long-term employment with a competitive salary;  Working with complex SaaS systems for a long time, from 6 months;  Performance & salary review constantly.  Professional development support (books, online courses, conferences, certifications, English courses)  Flexible work schedule, remote.  If you want a long-term, challenging project, if you want to influence the product with your decisions, you are our match.",https://www.work.ua/en/jobs/5704122/
Викладач у дитячу IT-школу програмування (Python),"CSS,JavaScript,HTML,Python,Комунікабельність,Програмування,Креативність,Робота з дітьми,Бажання вчитися і розвиватися",5000–10000 UAH,"Logika, мiжнародна школа програмування для дiтей","ПРО ШКОЛУ: Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають своє логічне та критичне мислення і вміння думати та аналізувати інформацію, в проєктній роботі проявляти креативність та творчі здібності. Ми пропонуємо:  Робота у вихідні (субота, неділя). Можлива зайнятість в будні дні друга половина дня.  Вчасна виплата заробітної плати.  Постійне навчання за рахунок компанії від наших професіоналів.  Круте ком’юніті однодумців та комплексну базу знань для співробітників!  Мотивацію для викладачів!  Зайнятість від 2−7 груп  Заробітна плата: від 400 грн за один урок (в залежності від кількості дітей у групі)  Обов`язки:  Проводити офлайн заняття із використанням вже готових методичних та практичних матеріалів школи Logika;  Створювати та підтримувати дружню робочу атмосферу на заняттях;  Слідкувати за результатами учнів;  Вчасно заповнювати адміністративну звітність;  Проводити відкриті уроки для батьків, та давати зворотній зв’язок про навчання дітей;  Отримувати задоволення від роботи із майбутнім нашої країни;  Хто нам потрібен?:  Потрібні  енергійні  та  вмотивовані  викладачі, які ладнають із комп’ютером на «ти» та мають  активний підхід  до своєї роботи.  Високо розвинені  комунікативні  навички , досвід публічних виступів  Любов до дітей  та  бажання  навчати та навчатись разом із ними!  Знання мінімум одної мови програмування:  Python,Lua, HTML,CSS, JavaScript  та величезне  бажання вивчати  нове).  Великою перевагою буде  вища освіта в області ІТ ,  педагогіки/психології.  Кандидати  з досвідом роботи з дітьми  в пріоритеті.  Якщо у Вас ще немає досвіду, але є хист і бажання, школа пропонує навчання і підтримку. Якщо саме ВИ бажаєте власноруч змінювати освіту на краще — чекаємо на Вас в Logika! Не втрачайте можливість — хутчіш залишайте відгук, або ж телефонуйте/пишіть:  0955641301 Show phone  Михайло.",https://www.work.ua/en/jobs/5283314/
